AD:06,Sant Julià de Loria
DE:NI:ronnenberg,Lower Saxony:Ronnenberg
DE:NI:salzgitter,Lower Saxony:Salzgitter
DE:NI:seelze,Lower Saxony:Seelze
DE:NI:seevetal,Lower Saxony:Seevetal
DE:NI:spelle,Lower Saxony:Spelle
DE:NI:sulingen,Lower Saxony:Sulingen
DE:NI:twistringen,Lower Saxony:Twistringen
DE:NI:werlte,Lower Saxony:Werlte
DE:NI:weyhe,Lower Saxony:Weyhe
DE:NI:wietze,Lower Saxony:Wietze
DE:NI:wilhelmshaven,Lower Saxony:Wilhelmshaven
DE:NI:wittingen,Lower Saxony:Wittingen
DE:NI:wolfenbüttel,Lower Saxony:Wolfenbüttel
DE:NI:wunstorf,Lower Saxony:Wunstorf
DE:NW,North Rhine-Westphalia
DE:NW:aachen,North Rhine-Westphalia:Aachen
DE:NW:ahlen,North Rhine-Westphalia:Ahlen
DE:NW:arnsberg,North Rhine-Westphalia:Arnsberg
DE:NW:bad oeynhausen,North Rhine-Westphalia:Bad Oeynhausen
DE:NW:bad salzuflen,North Rhine-Westphalia:Bad Salzuflen
DE:NW:bergkamen,North Rhine-Westphalia:Bergkamen
DE:NW:bielefeld,North Rhine-Westphalia:Bielefeld
DE:NW:bocholt,North Rhine-Westphalia:Bocholt
DE:NW:bochum,North Rhine-Westphalia:Bochum
DE:NW:bonn,North Rhine-Westphalia:Bonn
DE:NW:bottrop,North Rhine-Westphalia:Bottrop
DE:NW:brilon,North Rhine-Westphalia:Brilon
DE:NW:buende,North Rhine-Westphalia:Buende
DE:NW:bueren,North Rhine-Westphalia:Bueren
DE:NW:castrop-rauxel,North Rhine-Westphalia:Castrop-Rauxel
DE:NW:coesfeld,North Rhine-Westphalia:Coesfeld
DE:NW:cologne,North Rhine-Westphalia:Cologne
DE:NW:delbrueck,North Rhine-Westphalia:Delbrueck
DE:NW:detmold,North Rhine-Westphalia:Detmold
DE:NW:dinslaken,North Rhine-Westphalia:Dinslaken
DE:NW:dorsten,North Rhine-Westphalia:Dorsten
DE:NW:dortmund,North Rhine-Westphalia:Dortmund
DE:NW:duisburg,North Rhine-Westphalia:Duisburg
DE:NW:düren,North Rhine-Westphalia:Düren
DE:NW:düsseldorf,North Rhine-Westphalia:Düsseldorf
DE:NW:elsdorf,North Rhine-Westphalia:Elsdorf
DE:NW:emmerich,North Rhine-Westphalia:Emmerich
DE:NW:emsdetten,North Rhine-Westphalia:Emsdetten
DE:NW:erftstadt,North Rhine-Westphalia:Erftstadt
DE:NW:essen,North Rhine-Westphalia:Essen
DE:NW:furth,North Rhine-Westphalia:Furth
DE:NW:gelsenkirchen,North Rhine-Westphalia:Gelsenkirchen
DE:NW:gevelsberg,North Rhine-Westphalia:Gevelsberg
DE:NW:gladbeck,North Rhine-Westphalia:Gladbeck
DE:NW:greven,North Rhine-Westphalia:Greven
DE:NW:grevenbroich,North Rhine-Westphalia:Grevenbroich
DE:NW:gronau,North Rhine-Westphalia:Gronau
DE:NW:gummersbach,North Rhine-Westphalia:Gummersbach
DE:NW:haan,North Rhine-Westphalia:Haan
DE:NW:hagen,North Rhine-Westphalia:Hagen
DE:NW:hamm,North Rhine-Westphalia:Hamm
DE:NW:heinsberg,North Rhine-Westphalia:Heinsberg
DE:NW:hemer,North Rhine-Westphalia:Hemer
DE:NW:herdecke,North Rhine-Westphalia:Herdecke
DE:NW:herne,North Rhine-Westphalia:Herne
DE:NW:hilchenbach,North Rhine-Westphalia:Hilchenbach
DE:NW:hilden,North Rhine-Westphalia:Hilden
DE:NW:horn-bad meinberg,North Rhine-Westphalia:Horn-Bad Meinberg
DE:NW:hueckeswagen,North Rhine-Westphalia:Hueckeswagen
DE:NW:ibbenbueren,North Rhine-Westphalia:Ibbenbueren
DE:NW:iserlohn,North Rhine-Westphalia:Iserlohn
DE:NW:issum,North Rhine-Westphalia:Issum
DE:NW:juelich,North Rhine-Westphalia:Juelich
DE:NW:kaarst,North Rhine-Westphalia:Kaarst
DE:NW:kalkar,North Rhine-Westphalia:Kalkar
DE:NW:kamen,North Rhine-Westphalia:Kamen
DE:NW:kerpen,North Rhine-Westphalia:Kerpen
DE:NW:kevelaer,North Rhine-Westphalia:Kevelaer
DE:NW:krefeld,North Rhine-Westphalia:Krefeld
DE:NW:kreisfreie stadt muelheim an der ruhr,North Rhine-Westphalia:Kreisfreie Stadt Muelheim an der Ruhr
DE:NW:langenfeld,North Rhine-Westphalia:Langenfeld
DE:NW:lemgo,North Rhine-Westphalia:Lemgo
DE:NW:lennestadt,North Rhine-Westphalia:Lennestadt
DE:NW:leverkusen,North Rhine-Westphalia:Leverkusen
DE:NW:lienen,North Rhine-Westphalia:Lienen
DE:NW:lippstadt,North Rhine-Westphalia:Lippstadt
DE:NW:lüdenscheid,North Rhine-Westphalia:Lüdenscheid
DE:NW:lünen,North Rhine-Westphalia:Lünen
DE:NW:marl,North Rhine-Westphalia:Marl
DE:NW:marsberg,North Rhine-Westphalia:Marsberg
DE:NW:mechernich,North Rhine-Westphalia:Mechernich
DE:NW:meinerzhagen,North Rhine-Westphalia:Meinerzhagen
DE:NW:minden,North Rhine-Westphalia:Minden
DE:NW:moers,North Rhine-Westphalia:Moers
DE:NW:much,North Rhine-Westphalia:Much
DE:NW:mönchengladbach,North Rhine-Westphalia:Mönchengladbach
DE:NW:mülheim,North Rhine-Westphalia:Mülheim
DE:NW:münster,North Rhine-Westphalia:Münster
DE:NW:neuss,North Rhine-Westphalia:Neuss
DE:NW:oberhausen,North Rhine-Westphalia:Oberhausen
DE:NW:ochtrup,North Rhine-Westphalia:Ochtrup
DE:NW:oelde,North Rhine-Westphalia:Oelde
DE:NW:olfen,North Rhine-Westphalia:Olfen
DE:NW:olpe,North Rhine-Westphalia:Olpe
DE:NW:paderborn,North Rhine-Westphalia:Paderborn
DE:NW:petershagen,North Rhine-Westphalia:Petershagen
DE:NW:preussisch oldendorf,North Rhine-Westphalia:Preussisch Oldendorf
DE:NW:ratingen,North Rhine-Westphalia:Ratingen
DE:NW:recklinghausen,North Rhine-Westphalia:Recklinghausen
DE:NW:remscheid,North Rhine-Westphalia:Remscheid
DE:NW:rheine,North Rhine-Westphalia:Rheine
DE:NW:rietberg,North Rhine-Westphalia:Rietberg
DE:NW:sankt augustin,North Rhine-Westphalia:Sankt Augustin
DE:NW:sassenberg,North Rhine-Westphalia:Sassenberg
DE:NW:schloss holte-stukenbrock,North Rhine-Westphalia:Schloss Holte-Stukenbrock
DE:NW:schmallenberg,North Rhine-Westphalia:Schmallenberg
DE:NW:schwerte,North Rhine-Westphalia:Schwerte
DE:NW:siegen,North Rhine-Westphalia:Siegen
DE:NW:simmerath,North Rhine-Westphalia:Simmerath
DE:NW:solingen,North Rhine-Westphalia:Solingen
DE:NW:stadtlohn,North Rhine-Westphalia:Stadtlohn
DE:NW:steinfurt,North Rhine-Westphalia:Steinfurt
DE:NW:toenisvorst,North Rhine-Westphalia:Toenisvorst
DE:NW:velbert,North Rhine-Westphalia:Velbert
DE:NW:viersen,North Rhine-Westphalia:Viersen
DE:NW:warburg,North Rhine-Westphalia:Warburg
DE:NW:warendorf,North Rhine-Westphalia:Warendorf
DE:NW:wassenberg,North Rhine-Westphalia:Wassenberg
DE:NW:wegberg,North Rhine-Westphalia:Wegberg
DE:NW:wenden,North Rhine-Westphalia:Wenden
DE:NW:werdohl,North Rhine-Westphalia:Werdohl
DE:NW:wermelskirchen,North Rhine-Westphalia:Wermelskirchen
DE:NW:willich,North Rhine-Westphalia:Willich
DE:NW:witten,North Rhine-Westphalia:Witten
DE:NW:wuppertal,North Rhine-Westphalia:Wuppertal
DE:RP,Rheinland-Pfalz
DE:RP:bad ems,Rheinland-Pfalz:Bad Ems
DE:RP:bad hoenningen,Rheinland-Pfalz:Bad Hoenningen
DE:RP:bad kreuznach,Rheinland-Pfalz:Bad Kreuznach
DE:RP:daxweiler,Rheinland-Pfalz:Daxweiler
DE:RP:diez,Rheinland-Pfalz:Diez
DE:RP:dorth,Rheinland-Pfalz:Dorth
DE:RP:frankenthal,Rheinland-Pfalz:Frankenthal
DE:RP:freinsheim,Rheinland-Pfalz:Freinsheim
DE:RP:hattert,Rheinland-Pfalz:Hattert
DE:RP:hatzenbuhl,Rheinland-Pfalz:Hatzenbuhl
DE:RP:herdorf,Rheinland-Pfalz:Herdorf
DE:RP:idar-oberstein,Rheinland-Pfalz:Idar-Oberstein
DE:RP:kaiserslautern,Rheinland-Pfalz:Kaiserslautern
DE:RP:kolbingen,Rheinland-Pfalz:Kolbingen
DE:RP:landau,Rheinland-Pfalz:Landau
DE:RP:ludwigshafen am rhein,Rheinland-Pfalz:Ludwigshafen am Rhein
DE:RP:mainz,Rheinland-Pfalz:Mainz
DE:RP:mutterstadt,Rheinland-Pfalz:Mutterstadt
DE:RP:neustadt,Rheinland-Pfalz:Neustadt
DE:RP:niederkumbd,Rheinland-Pfalz:Niederkumbd
DE:RP:norheim,Rheinland-Pfalz:Norheim
DE:RP:raubach,Rheinland-Pfalz:Raubach
DE:RP:trier,Rheinland-Pfalz:Trier
DE:RP:weilerbach,Rheinland-Pfalz:Weilerbach
DE:RP:wollstein,Rheinland-Pfalz:Wollstein
DE:RP:worms,Rheinland-Pfalz:Worms
DE:SH,Schleswig-Holstein
DE:SH:ahrensburg,Schleswig-Holstein:Ahrensburg
DE:SH:altenholz,Schleswig-Holstein:Altenholz
DE:SH:bad bramstedt,Schleswig-Holstein:Bad Bramstedt
DE:SH:bordesholm,Schleswig-Holstein:Bordesholm
DE:SH:eckernfoerde,Schleswig-Holstein:Eckernfoerde
DE:SH:flensburg,Schleswig-Holstein:Flensburg
DE:SH:kastorf,Schleswig-Holstein:Kastorf
DE:SH:kiel,Schleswig-Holstein:Kiel
DE:SH:lottorf,Schleswig-Holstein:Lottorf
DE:SH:lübeck,Schleswig-Holstein:Lübeck
DE:SH:neumünster,Schleswig-Holstein:Neumünster
DE:SH:norderstedt,Schleswig-Holstein:Norderstedt
DE:SH:oststeinbek,Schleswig-Holstein:Oststeinbek
DE:SH:quickborn,Schleswig-Holstein:Quickborn
DE:SH:rendsburg,Schleswig-Holstein:Rendsburg
DE:SH:wentorf bei hamburg,Schleswig-Holstein:Wentorf bei Hamburg
DE:SL,Saarland
DE:SL:blieskastel,Saarland:Blieskastel
DE:SL:heusweiler,Saarland:Heusweiler
DE:SL:homburg,Saarland:Homburg
DE:SL:illingen,Saarland:Illingen
DE:SL:kirkel,Saarland:Kirkel
DE:SL:marpingen,Saarland:Marpingen
DE:SL:merzig,Saarland:Merzig
DE:SL:neunkirchen,Saarland:Neunkirchen
DE:SL:saarbrücken,Saarland:Saarbrücken
DE:SL:voelklingen,Saarland:Voelklingen
DE:SL:wadern,Saarland:Wadern
DE:SL:wallerfangen,Saarland:Wallerfangen
DE:SN,Saxony
DE:SN:bautzen,Saxony:Bautzen
DE:SN:chemnitz,Saxony:Chemnitz
DE:SN:dresden,Saxony:Dresden
DE:SN:geising,Saxony:Geising
DE:SN:gelenau,Saxony:Gelenau
DE:SN:görlitz,Saxony:Görlitz
DE:SN:heidenau,Saxony:Heidenau
DE:SN:leipzig,Saxony:Leipzig
DE:SN:markkleeberg,Saxony:Markkleeberg
DE:SN:meissen,Saxony:Meissen
DE:SN:mittweida,Saxony:Mittweida
DE:SN:pegau,Saxony:Pegau
DE:SN:pirna,Saxony:Pirna
DE:SN:plauen,Saxony:Plauen
DE:SN:radebeul,Saxony:Radebeul
DE:SN:schwarzenberg,Saxony:Schwarzenberg
DE:SN:sebnitz,Saxony:Sebnitz
DE:SN:sehma,Saxony:Sehma
DE:SN:sohland,Saxony:Sohland
DE:SN:stolpen,Saxony:Stolpen
DE:SN:weinbohla,Saxony:Weinbohla
DE:SN:weisswasser,Saxony:Weisswasser
DE:SN:werdau,Saxony:Werdau
DE:SN:zittau,Saxony:Zittau
DE:SN:zwickau,Saxony:Zwickau
DE:ST,Saxony-Anhalt
DE:ST:bernburg,Saxony-Anhalt:Bernburg
DE:ST:burg bei magdeburg,Saxony-Anhalt:Burg bei Magdeburg
DE:ST:dessau,Saxony-Anhalt:Dessau
DE:ST:gardelegen,Saxony-Anhalt:Gardelegen
DE:ST:gatersleben,Saxony-Anhalt:Gatersleben
DE:ST:genthin,Saxony-Anhalt:Genthin
DE:ST:halberstadt,Saxony-Anhalt:Halberstadt
DE:ST:haldensleben i,Saxony-Anhalt:Haldensleben I
DE:ST:halle,Saxony-Anhalt:Halle
DE:ST:jessen,Saxony-Anhalt:Jessen
DE:ST:kloetze,Saxony-Anhalt:Kloetze
DE:ST:magdeburg,Saxony-Anhalt:Magdeburg
DE:ST:merseburg,Saxony-Anhalt:Merseburg
DE:ST:nebra,Saxony-Anhalt:Nebra
DE:ST:salzwedel,Saxony-Anhalt:Salzwedel
DE:ST:stendal,Saxony-Anhalt:Stendal
DE:ST:wolferode,Saxony-Anhalt:Wolferode
DE:TH,Thuringia
DE:TH:altenburg,Thuringia:Altenburg
DE:TH:apolda,Thuringia:Apolda
DE:TH:arnstadt,Thuringia:Arnstadt
DE:TH:bad blankenburg,Thuringia:Bad Blankenburg
DE:TH:dreitzsch,Thuringia:Dreitzsch
DE:TH:eckstedt,Thuringia:Eckstedt
DE:TH:eisenach,Thuringia:Eisenach
DE:TH:erfurt,Thuringia:Erfurt
DE:TH:heilbad heiligenstadt,Thuringia:Heilbad Heiligenstadt
DE:TH:ilmenau,Thuringia:Ilmenau
DE:TH:ilmtal,Thuringia:Ilmtal
DE:TH:jena,Thuringia:Jena
DE:TH:meiningen,Thuringia:Meiningen
DE:TH:mühlhausen,Thuringia:Mühlhausen
DE:TH:neuhaus am rennweg,Thuringia:Neuhaus am Rennweg
DE:TH:nordhausen,Thuringia:Nordhausen
DE:TH:suhl,Thuringia:Suhl
DE:TH:weimar,Thuringia:Weimar
DK:81,North Denmark
DK:81:aalborg,North Denmark:Aalborg
DK:81:aars,North Denmark:Aars
DK:81:brønderslev,North Denmark:Brønderslev
DK:81:fjerritslev,North Denmark:Fjerritslev
DK:81:frederikshavn,North Denmark:Frederikshavn
DK:81:hadsund,North Denmark:Hadsund
DK:81:hals,North Denmark:Hals
DK:81:hanstholm,North Denmark:Hanstholm
DK:81:hjallerup,North Denmark:Hjallerup
DK:81:hjørring,North Denmark:Hjørring
DK:81:hobro,North Denmark:Hobro
DK:81:klarup,North Denmark:Klarup
DK:81:løgstør,North Denmark:Løgstør
DK:81:mariager,North Denmark:Mariager
DK:81:norresundby,North Denmark:Norresundby
DK:81:saeby,North Denmark:Saeby
DK:81:skagen,North Denmark:Skagen
DK:81:snedsted,North Denmark:Snedsted
DK:81:storvorde,North Denmark:Storvorde
DK:81:stovring,North Denmark:Stovring
DK:81:thisted,North Denmark:Thisted
DK:81:vadum,North Denmark:Vadum
DK:81:vodskov,North Denmark:Vodskov
DK:82,Central Jutland
DK:82:aarhus,Central Jutland:Aarhus
DK:82:auning,Central Jutland:Auning
DK:82:beder,Central Jutland:Beder
DK:82:bjerringbro,Central Jutland:Bjerringbro
DK:82:braedstrup,Central Jutland:Braedstrup
DK:82:galten,Central Jutland:Galten
DK:82:glesborg,Central Jutland:Glesborg
DK:82:grenå,Central Jutland:Grenå
DK:82:hadsten,Central Jutland:Hadsten
DK:82:hasselager,Central Jutland:Hasselager
DK:82:herning,Central Jutland:Herning
DK:82:hinnerup,Central Jutland:Hinnerup
DK:82:holstebro,Central Jutland:Holstebro
DK:82:hornslet,Central Jutland:Hornslet
DK:82:horsens,Central Jutland:Horsens
DK:82:hvide sande,Central Jutland:Hvide Sande
DK:82:ikast,Central Jutland:Ikast
DK:82:kibaek,Central Jutland:Kibaek
DK:82:kjellerup,Central Jutland:Kjellerup
DK:82:knebel,Central Jutland:Knebel
DK:82:lemvig,Central Jutland:Lemvig
DK:82:malling,Central Jutland:Malling
DK:82:odder,Central Jutland:Odder
DK:82:randers,Central Jutland:Randers
DK:82:ringkøbing,Central Jutland:Ringkøbing
DK:82:risskov,Central Jutland:Risskov
DK:82:rodkaersbro,Central Jutland:Rodkaersbro
DK:82:ryomgard,Central Jutland:Ryomgard
DK:82:sabro,Central Jutland:Sabro
DK:82:silkeborg,Central Jutland:Silkeborg
DK:82:skanderborg,Central Jutland:Skanderborg
DK:82:skive,Central Jutland:Skive
DK:82:skjern,Central Jutland:Skjern
DK:82:struer municipality,Central Jutland:Struer Municipality
DK:82:torring,Central Jutland:Torring
DK:82:tranbjerg,Central Jutland:Tranbjerg
DK:82:ulfborg,Central Jutland:Ulfborg
DK:82:viborg,Central Jutland:Viborg
DK:82:viby,Central Jutland:Viby
DK:83,South Denmark
DK:83:aabenraa,South Denmark:Aabenraa
DK:83:arup,South Denmark:Arup
DK:83:baekke,South Denmark:Baekke
DK:83:borkop,South Denmark:Borkop
DK:83:bramming,South Denmark:Bramming
DK:83:ejby,South Denmark:Ejby
DK:83:esbjerg,South Denmark:Esbjerg
DK:83:fredericia,South Denmark:Fredericia
DK:83:give,South Denmark:Give
DK:83:gram,South Denmark:Gram
DK:83:grindsted,South Denmark:Grindsted
DK:83:haderslev,South Denmark:Haderslev
DK:83:kolding,South Denmark:Kolding
DK:83:marstal,South Denmark:Marstal
DK:83:middelfart,South Denmark:Middelfart
DK:83:nyborg,South Denmark:Nyborg
DK:83:odense,South Denmark:Odense
DK:83:ribe,South Denmark:Ribe
DK:83:rudkøbing,South Denmark:Rudkøbing
DK:83:rødekro,South Denmark:Rødekro
DK:83:sherrebek,South Denmark:Sherrebek
DK:83:svendborg,South Denmark:Svendborg
DK:83:sønderborg,South Denmark:Sønderborg
DK:83:tjaereborg,South Denmark:Tjaereborg
DK:83:varde,South Denmark:Varde
DK:83:vejen municipality,South Denmark:Vejen Municipality
DK:83:vejle,South Denmark:Vejle
DK:83:viuf,South Denmark:Viuf
DK:84,Capital Region
DK:84:albertslund municipality,Capital Region:Albertslund Municipality
DK:84:allerød municipality,Capital Region:Allerød Municipality
DK:84:bagsvaerd,Capital Region:Bagsvaerd
DK:84:ballerup municipality,Capital Region:Ballerup Municipality
DK:84:birkerød,Capital Region:Birkerød
DK:84:brondby strand,Capital Region:Brondby Strand
DK:84:bronshoj,Capital Region:Bronshoj
DK:84:brøndby,Capital Region:Brøndby
DK:84:charlottenlund,Capital Region:Charlottenlund
DK:84:copenhagen,Capital Region:Copenhagen
DK:84:dragør,Capital Region:Dragør
DK:84:elsinore,Capital Region:Elsinore
DK:84:farum,Capital Region:Farum
DK:84:fredensborg,Capital Region:Fredensborg
DK:84:frederiksberg,Capital Region:Frederiksberg
DK:84:frederikssund,Capital Region:Frederikssund
DK:84:gentofte municipality,Capital Region:Gentofte Municipality
DK:84:gilleleje,Capital Region:Gilleleje
DK:84:glostrup municipality,Capital Region:Glostrup Municipality
DK:84:hedehusene,Capital Region:Hedehusene
DK:84:hellerup,Capital Region:Hellerup
DK:84:helsinge,Capital Region:Helsinge
DK:84:herlev,Capital Region:Herlev
DK:84:hillerød,Capital Region:Hillerød
DK:84:holte,Capital Region:Holte
DK:84:humlebaek,Capital Region:Humlebaek
DK:84:hvidovre,Capital Region:Hvidovre
DK:84:hørsholm,Capital Region:Hørsholm
DK:84:jægerspris,Capital Region:Jægerspris
DK:84:kastrup,Capital Region:Kastrup
DK:84:kokkedal,Capital Region:Kokkedal
DK:84:kongens lyngby,Capital Region:Kongens Lyngby
DK:84:lynge,Capital Region:Lynge
DK:84:olstykke,Capital Region:Olstykke
DK:84:rødovre municipality,Capital Region:Rødovre Municipality
DK:84:rønne,Capital Region:Rønne
DK:84:skibby,Capital Region:Skibby
DK:84:skovlunde,Capital Region:Skovlunde
DK:84:soborg,Capital Region:Soborg
DK:84:stenlose,Capital Region:Stenlose
DK:84:taastrup,Capital Region:Taastrup
DK:84:vaerlose,Capital Region:Vaerlose
DK:84:valby,Capital Region:Valby
DK:84:vallensbæk,Capital Region:Vallensbæk
DK:84:vanlose,Capital Region:Vanlose
DK:84:vedbaek,Capital Region:Vedbaek
DK:84:virum,Capital Region:Virum
DK:85,Zealand
DK:85:bjaeverskov,Zealand:Bjaeverskov
DK:85:fensmark,Zealand:Fensmark
DK:85:greve,Zealand:Greve
DK:85:haslev,Zealand:Haslev
DK:85:holbaek,Zealand:Holbaek
DK:85:jerslev,Zealand:Jerslev
DK:85:kalundborg,Zealand:Kalundborg
DK:85:karlslunde,Zealand:Karlslunde
DK:85:korsør,Zealand:Korsør
DK:85:køge,Zealand:Køge
DK:85:lundby stationsby,Zealand:Lundby Stationsby
DK:85:naestved,Zealand:Naestved
DK:85:nakskov,Zealand:Nakskov
DK:85:nykobing falster,Zealand:Nykobing Falster
DK:85:nykobing sjaelland,Zealand:Nykobing Sjaelland
DK:85:ringsted,Zealand:Ringsted
DK:85:roskilde,Zealand:Roskilde
DK:85:rødby,Zealand:Rødby
DK:85:skaelskor,Zealand:Skaelskor
DK:85:slagelse,Zealand:Slagelse
DK:85:soro,Zealand:Soro
DK:85:tollose,Zealand:Tollose
DO:01,Nacional
DO:01:villa consuelo,Nacional:Villa Consuelo
DO:06,Provincia Duarte
DO:06:san francisco de macorís,Provincia Duarte:San Francisco de Macorís
DO:09,Provincia Espaillat
DO:09:moca,Provincia Espaillat:Moca
DO:21,Provincia de San Cristobal
DO:21:yaguate,Provincia de San Cristobal:Yaguate
DO:23,Provincia de San Pedro de Macoris
DO:23:san pedro de macorís,Provincia de San Pedro de Macoris:San Pedro de Macorís
DO:25,Provincia de Santiago
DO:25:santiago de los caballeros,Provincia de Santiago:Santiago de los Caballeros
DO:32,Provincia de Santo Domingo
DO:32:ensanche villa faro,Provincia de Santo Domingo:Ensanche Villa Faro
DO:32:los alcarrizos,Provincia de Santo Domingo:Los Alcarrizos
DO:32:santo domingo este,Provincia de Santo Domingo:Santo Domingo Este
DZ:02,Chlef
DZ:02:boukadir,Chlef:Boukadir
DZ:06,Béjaïa
DZ:06:béjaïa,Béjaïa:Béjaïa
DZ:08,Béchar
DZ:08:béchar,Béchar:Béchar
DZ:12,Tébessa
DZ:12:tébessa,Tébessa:Tébessa
DZ:13,Tlemcen
DZ:13:tlemcen,Tlemcen:Tlemcen
DZ:16,Algiers
DZ:16:algiers,Algiers:Algiers
DZ:16:kouba,Algiers:Kouba
DZ:16:rouiba,Algiers:Rouiba
DZ:17,Djelfa
DZ:17:el idrissia,Djelfa:El Idrissia
DZ:18,Jijel
DZ:18:jijel,Jijel:Jijel
DZ:19,Sétif
DZ:19:sétif,Sétif:Sétif
DZ:23,Annaba
DZ:23:annaba,Annaba:Annaba
DZ:25,Constantine
DZ:25:constantine,Constantine:Constantine
DZ:35,Boumerdes
DZ:35:bordj menaïel,Boumerdes:Bordj Menaïel
DZ:42,Tipaza
DZ:42:el biar,Tipaza:El Biar
DZ:47,Ghardaia
DZ:47:berriane,Ghardaia:Berriane
DZ:48,Relizane
DZ:48:relizane,Relizane:Relizane
EC:A,Provincia del Azuay
EC:A:cuenca,Provincia del Azuay:Cuenca
EC:C,Provincia del Carchi
EC:C:tulcán,Provincia del Carchi:Tulcán
EC:G,Provincia del Guayas
EC:G:daule,Provincia del Guayas:Daule
EC:G:guayaquil,Provincia del Guayas:Guayaquil
EC:H,Provincia del Chimborazo
EC:H:riobamba,Provincia del Chimborazo:Riobamba
EC:L,Provincia de Loja
EC:L:loja,Provincia de Loja:Loja
EC:M,Provincia de Manabi
EC:M:manta,Provincia de Manabi:Manta
EC:O,Provincia de El Oro
EC:O:machala,Provincia de El Oro:Machala
EC:P,Provincia de Pichincha
EC:P:quito,Provincia de Pichincha:Quito
EC:SD,Provincia de Santo Domingo de los Tsachilas
EC:SD:santo domingo de los colorados,Provincia de Santo Domingo de los Tsachilas:Santo Domingo de los Colorados
EC:T,Provincia del Tungurahua
EC:T:ambato,Provincia del Tungurahua:Ambato
EE:37,Harjumaa
EE:37:keila,Harjumaa:Keila
EE:37:maardu,Harjumaa:Maardu
EE:37:tallinn,Harjumaa:Tallinn
EE:37:viimsi,Harjumaa:Viimsi
EE:39,Hiiumaa
EE:39:kärdla,Hiiumaa:Kärdla
EE:44,Ida-Virumaa
EE:44:kohtla-järve,Ida-Virumaa:Kohtla-Järve
EE:44:narva,Ida-Virumaa:Narva
EE:49,Jõgevamaa
EE:49:jõgeva,Jõgevamaa:Jõgeva
EE:59,Lääne-Virumaa
EE:59:rakvere,Lääne-Virumaa:Rakvere
EE:67,Pärnumaa
EE:67:pärnu,Pärnumaa:Pärnu
EE:74,Saare
EE:74:kudjape,Saare:Kudjape
EE:74:kuressaare,Saare:Kuressaare
EE:78,Tartu
EE:78:tartu,Tartu:Tartu
EE:82,Valgamaa
EE:82:valga,Valgamaa:Valga
EE:84,Viljandimaa
EE:84:viljandi,Viljandimaa:Viljandi
EE:86,Võrumaa
EE:86:võru,Võrumaa:Võru
EG:ALX,Alexandria
EG:ALX:alexandria,Alexandria:Alexandria
EG:ASN,Aswan
EG:ASN:aswan,Aswan:Aswan
EG:AST,Asyut
EG:AST:assiut,Asyut:Assiut
EG:BA,Red Sea
EG:BA:hurghada,Red Sea:Hurghada
EG:C,Cairo Governorate
EG:C:cairo,Cairo Governorate:Cairo
EG:C:madinat an nasr,Cairo Governorate:Madinat an Nasr
EG:C:new cairo,Cairo Governorate:New Cairo
EG:DK,Dakahlia
EG:DK:al mansurah,Dakahlia:Al Mansurah
EG:DK:talkha,Dakahlia:Talkha
EG:GH,Gharbia
EG:GH:tanta,Gharbia:Tanta
EG:GZ,Giza
EG:GZ:giza,Giza:Giza
EG:IS,Ismailia Governorate
EG:IS:ismailia,Ismailia Governorate:Ismailia
EG:KB,Qalyubia
EG:KB:banha,Qalyubia:Banha
EG:KN,Qena
EG:KN:esna,Qena:Esna
EG:KN:qina,Qena:Qina
EG:LX,Luxor
EG:LX:luxor,Luxor:Luxor
EG:MN,Minya
EG:MN:minya,Minya:Minya
EG:PTS,Port Said
EG:PTS:port said,Port Said:Port Said
EG:SHG,Sohag
EG:SHG:sohag,Sohag:Sohag
EG:SHR,Sharqia
EG:SHR:bilbeis,Sharqia:Bilbeis
EG:SUZ,Suez
EG:SUZ:suez,Suez:Suez
ES:A,Alicante
ES:A:alcoy,Alicante:Alcoy
ES:A:algorfa,Alicante:Algorfa
ES:A:alicante,Alicante:Alicante
ES:A:aspe,Alicante:Aspe
ES:A:benferri,Alicante:Benferri
ES:A:benidorm,Alicante:Benidorm
ES:A:bigastro,Alicante:Bigastro
ES:A:callosa de segura,Alicante:Callosa de Segura
ES:A:calpe,Alicante:Calpe
ES:A:castalla,Alicante:Castalla
ES:A:catral,Alicante:Catral
ES:A:cox,Alicante:Cox
ES:A:crevillent,Alicante:Crevillent
ES:A:denia,Alicante:Denia
ES:A:elche,Alicante:Elche
ES:A:elda,Alicante:Elda
ES:A:ibi,Alicante:Ibi
ES:A:la murada,Alicante:La Murada
ES:A:monòver,Alicante:Monòver
ES:A:mutxamel,Alicante:Mutxamel
ES:A:novelda,Alicante:Novelda
ES:A:orihuela,Alicante:Orihuela
ES:A:petrel,Alicante:Petrel
ES:A:pinoso,Alicante:Pinoso
ES:A:redovan,Alicante:Redovan
ES:A:san juan de alicante,Alicante:San Juan de Alicante
ES:A:san vicent del raspeig,Alicante:San Vicent del Raspeig
ES:A:teulada,Alicante:Teulada
ES:A:torrevieja,Alicante:Torrevieja
ES:A:villajoyosa,Alicante:Villajoyosa
ES:A:villena,Alicante:Villena
ES:AB,Albacete
ES:AB:albacete,Albacete:Albacete
ES:AB:almansa,Albacete:Almansa
ES:AB:hellin,Albacete:Hellin
ES:AB:villamalea,Albacete:Villamalea
ES:AB:villarrobledo,Albacete:Villarrobledo
ES:AL,Almeria
ES:AL:adra,Almeria:Adra
ES:AL:aguadulce,Almeria:Aguadulce
